share_permanent,share_track_res,q0_per_review,q_fp_uplift,q_res_work0,q_res_work_uplift,q_res_to_fp0,q_res_to_fp_reduction,res_expiry_to_fp,relapse_per_year,p_employment,p_fleksjob,p_other_benefit,net_cost_employment,net_cost_fleksjob,net_cost_other,program_cost_per_participant,folkepension_age,flat_discount,mean_saving
0.4557858718400307,0.45389053881778496,0.0021457269079007578,0.012208584345785764,0.15360724107952836,0.08104515927975606,0.15772528827998014,0.047425973973005395,0.5754746570578538,0.03999776339073539,0.1067581264930964,0.6513338936553781,0.24190797985152562,-62391.05377592238,91956.3357088751,131685.76537634124,12836.800436390731,69,0.04431586144267387,44637.32571642948
0.48158545896078114,0.5383949135420495,0.0037704675224754353,0.008506712248482982,0.12653451830388684,0.018779851953468034,0.06448606141780486,0.004227360697949711,0.4914855974668798,0.06749150237578751,0.15090164902669415,0.509884868858435,0.3392134821148708,-23818.68850548856,136483.1289631419,167807.12494809984,1334.497606898376,68,0.025717409453760987,595.0197299179649
0.5493789649412342,0.4179330292085136,0.0002980170509441981,0.025225199542831485,0.1123474323534278,0.058202114270418756,0.12925170564952754,0.028089115947165306,0.7039228430860821,0.058789328566156956,0.25074025387254983,0.3329627556773479,0.4162969904501022,-25384.689958088053,131840.612795445,181292.14224607497,14964.23927515646,67,0.035820611572380714,18825.557854481354
0.6733510111929919,0.44107577653384333,0.0018488635289344456,0.028562453873813044,0.04966870345121619,0.06485849621618306,0.11138287402743474,0.03532722626747932,0.49234574440869794,0.040477303512586,0.4215262150902397,0.3941389432223277,0.18433484168743278,-104725.11030126632,125547.28139580385,132428.91933516326,2532.386362320772,70,0.043005192893977036,118758.23228597186
0.5970534417341553,0.47915530325625366,0.021473928891265145,0.011731664498316223,0.19558289359961414,0.03108453363128435,0.1718374431542673,0.021237573411167606,0.6464921784575096,0.14834351851186015,0.22246594844474993,0.3114013162129019,0.46613273534234806,-102356.29134316414,107435.01460003109,149797.99600695874,7647.95911926621,68,0.02494920007972782,13419.127549387127
0.6446482870328527,0.5176388340561058,0.02017003824342937,0.00947159756456918,0.1072388420754945,0.04776407971749384,0.09152126283460768,0.0021221629122559482,0.6828722556992283,0.04056681590298432,0.21684889988221395,0.4585896930733432,0.32456140704444275,-50710.62931581385,123927.66439090953,110265.88097539218,12310.35902461683,69,0.03299230060254234,18670.379889661068
0.48750702792593575,0.5397028205085754,0.03034590328337794,0.019462500583914764,0.11887807176200449,0.026532643236656463,0.13619851025540375,0.0003342129936245275,0.6989272074910167,0.04754294904354431,0.10916112498716848,0.3585883481434858,0.5322505268693457,-71635.7529417377,103968.3492655559,123575.02119746372,4720.105876761869,70,0.02564066762442844,37015.76514035559
0.5290394158491318,0.5201442342769447,0.01864495025595694,0.02299341031294877,0.06776461290330371,0.0701731834563297,0.10422384197334755,0.01439338517593667,0.47489252884314415,0.05016986223080192,0.30934104891370207,0.2871761042861823,0.40348284680011565,-62322.58327687581,60708.66745606116,136410.27233539615,10874.882592931248,70,0.031100843580461158,81469.57119678569
0.5668843116200508,0.3904715808088027,0.010292864364767337,0.008843416227520032,0.055053301675136626,0.0884004395846566,0.09336877558630068,0.039616155580326266,0.5389977577049395,0.03406344153592378,0.1503413662232068,0.6157873803697747,0.2338712534070186,-81835.50425234795,138347.7628678181,146062.01100274685,14459.144672275004,71,0.02592927965485773,25456.65120497282
0.6146996192518259,0.5343821873522459,0.019812439618200856,0.021213862505709054,0.041325036311817026,0.014934816576868305,0.08791380909228054,0.02213245346857359,0.6936826913658443,0.03222410993354728,0.06924874646280131,0.6146714528947324,0.3160798006424664,-52726.7187356698,127073.7972156894,191181.10681270176,7945.719175144412,68,0.04647983826236939,-2703.8357856049142
